year,round,gp_name,circuit,driver,constructor,grid,position,points,status,laps
2022,1,Bahrain Grand Prix,Bahrain International Circuit,LEC,Ferrari,1,1,26.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,SAI,Ferrari,3,2,18.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,HAM,Mercedes,5,3,15.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,RUS,Mercedes,9,4,12.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,MAG,Haas F1 Team,7,5,10.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,BOT,Alfa Romeo,6,6,8.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,OCO,Alpine F1 Team,11,7,6.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,TSU,AlphaTauri,16,8,4.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,ALO,Alpine F1 Team,8,9,2.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,ZHO,Alfa Romeo,15,10,1.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,MSC,Haas F1 Team,12,11,0.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,STR,Aston Martin,19,12,0.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,ALB,Williams,14,13,0.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,RIC,McLaren,18,14,0.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,NOR,McLaren,13,15,0.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,LAT,Williams,20,16,0.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,HUL,Aston Martin,17,17,0.0,Finished,57
2022,1,Bahrain Grand Prix,Bahrain International Circuit,PER,Red Bull,4,18,0.0,Fuel pressure,56
2022,1,Bahrain Grand Prix,Bahrain International Circuit,VER,Red Bull,2,19,0.0,Fuel pressure,54
2022,1,Bahrain Grand Prix,Bahrain International Circuit,GAS,AlphaTauri,10,20,0.0,Power Unit,44
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,VER,Red Bull,4,1,25.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,LEC,Ferrari,2,2,19.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,SAI,Ferrari,3,3,15.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,PER,Red Bull,1,4,12.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,RUS,Mercedes,6,5,10.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,OCO,Alpine F1 Team,5,6,8.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,NOR,McLaren,11,7,6.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,GAS,AlphaTauri,9,8,4.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,MAG,Haas F1 Team,10,9,2.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,HAM,Mercedes,15,10,1.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,ZHO,Alfa Romeo,12,11,0.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,HUL,Aston Martin,17,12,0.0,Finished,50
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,STR,Aston Martin,13,13,0.0,+1 Lap,49
