year,round,gp_name,circuit,position,driver,constructor,q1,q2,q3
2022,1,Bahrain Grand Prix,Bahrain International Circuit,1,LEC,Ferrari,1:31.471,1:30.932,1:30.558
2022,1,Bahrain Grand Prix,Bahrain International Circuit,2,VER,Red Bull,1:31.785,1:30.757,1:30.681
2022,1,Bahrain Grand Prix,Bahrain International Circuit,3,SAI,Ferrari,1:31.567,1:30.787,1:30.687
2022,1,Bahrain Grand Prix,Bahrain International Circuit,4,PER,Red Bull,1:32.311,1:31.008,1:30.921
2022,1,Bahrain Grand Prix,Bahrain International Circuit,5,HAM,Mercedes,1:32.285,1:31.048,1:31.238
2022,1,Bahrain Grand Prix,Bahrain International Circuit,6,BOT,Alfa Romeo,1:31.919,1:31.717,1:31.560
2022,1,Bahrain Grand Prix,Bahrain International Circuit,7,MAG,Haas F1 Team,1:31.955,1:31.461,1:31.808
2022,1,Bahrain Grand Prix,Bahrain International Circuit,8,ALO,Alpine F1 Team,1:32.346,1:31.621,1:32.195
2022,1,Bahrain Grand Prix,Bahrain International Circuit,9,RUS,Mercedes,1:32.269,1:31.252,1:32.216
2022,1,Bahrain Grand Prix,Bahrain International Circuit,10,GAS,AlphaTauri,1:32.096,1:31.635,1:32.338
2022,1,Bahrain Grand Prix,Bahrain International Circuit,11,OCO,Alpine F1 Team,1:32.041,1:31.782,
2022,1,Bahrain Grand Prix,Bahrain International Circuit,12,MSC,Haas F1 Team,1:32.380,1:31.998,
2022,1,Bahrain Grand Prix,Bahrain International Circuit,13,NOR,McLaren,1:32.239,1:32.008,
2022,1,Bahrain Grand Prix,Bahrain International Circuit,14,ALB,Williams,1:32.726,1:32.664,
2022,1,Bahrain Grand Prix,Bahrain International Circuit,15,ZHO,Alfa Romeo,1:32.493,1:33.543,
2022,1,Bahrain Grand Prix,Bahrain International Circuit,16,TSU,AlphaTauri,1:32.750,,
2022,1,Bahrain Grand Prix,Bahrain International Circuit,17,HUL,Aston Martin,1:32.777,,
2022,1,Bahrain Grand Prix,Bahrain International Circuit,18,RIC,McLaren,1:32.945,,
2022,1,Bahrain Grand Prix,Bahrain International Circuit,19,STR,Aston Martin,1:33.032,,
