year,round,gp_name,circuit,driver,constructor,grid,position,points,status,laps
2023,1,Bahrain Grand Prix,Bahrain International Circuit,VER,Red Bull,1,1,25.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,PER,Red Bull,2,2,18.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,ALO,Aston Martin,5,3,15.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,SAI,Ferrari,4,4,12.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,HAM,Mercedes,7,5,10.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,STR,Aston Martin,8,6,8.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,RUS,Mercedes,6,7,6.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,BOT,Alfa Romeo,12,8,4.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,GAS,Alpine F1 Team,20,9,2.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,ALB,Williams,15,10,1.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,TSU,AlphaTauri,14,11,0.0,Finished,57
2023,1,Bahrain Grand Prix,Bahrain International Circuit,SAR,Williams,16,12,0.0,Lapped,56
2023,1,Bahrain Grand Prix,Bahrain International Circuit,MAG,Haas F1 Team,17,13,0.0,Lapped,56
2023,1,Bahrain Grand Prix,Bahrain International Circuit,DEV,AlphaTauri,19,14,0.0,Lapped,56
2023,1,Bahrain Grand Prix,Bahrain International Circuit,HUL,Haas F1 Team,10,15,0.0,Lapped,56
2023,1,Bahrain Grand Prix,Bahrain International Circuit,ZHO,Alfa Romeo,13,16,0.0,Lapped,56
2023,1,Bahrain Grand Prix,Bahrain International Circuit,NOR,McLaren,11,17,0.0,Lapped,55
2023,1,Bahrain Grand Prix,Bahrain International Circuit,OCO,Alpine F1 Team,9,18,0.0,Retired,41
2023,1,Bahrain Grand Prix,Bahrain International Circuit,LEC,Ferrari,3,19,0.0,Retired,39
2023,1,Bahrain Grand Prix,Bahrain International Circuit,PIA,McLaren,18,20,0.0,Retired,13
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,PER,Red Bull,1,1,25.0,Finished,50
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,VER,Red Bull,15,2,19.0,Finished,50
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,ALO,Aston Martin,2,3,15.0,Finished,50
